"provincia_id","provincia_nombre","departamento_id","departamento_nombre","inmigrantes","emigrantes","poblacion"
2,"Ciudad Autónoma de Buenos Aires",2999,"Ciudad Autónoma de Buenos Aires",440472,558719,3635269
6,"Buenos Aires",6007,"Adolfo Alsina",2115,2313,17371
6,"Buenos Aires",6014,"Adolfo Gonzales Chaves",1180,1296,13190
6,"Buenos Aires",6021,"Alberti",1768,1528,11733
6,"Buenos Aires",6028,"Almirante Brown",71452,83661,621308
6,"Buenos Aires",6035,"Avellaneda",62777,65809,387993
6,"Buenos Aires",6042,"Ayacucho",1948,1886,22765
6,"Buenos Aires",6049,"Azul",6383,5901,72505
6,"Buenos Aires",6056,"Bahía Blanca",28578,32352,321844
6,"Buenos Aires",6063,"Balcarce",4473,3843,50600
6,"Buenos Aires",6070,"Baradero",3791,2868,39442
6,"Buenos Aires",6077,"Arrecifes",2599,2495,32604
6,"Buenos Aires",6084,"Benito Juárez",2603,2567,22190
6,"Buenos Aires",6091,"Berazategui",42814,43409,364965
6,"Buenos Aires",6098,"Berisso",14883,13841,110178
6,"Buenos Aires",6105,"Bolívar",3915,3331,38256
6,"Buenos Aires",6112,"Bragado",3907,3477,45523
6,"Buenos Aires",6119,"Brandsen",5915,3655,34246
6,"Buenos Aires",6126,"Campana",12298,10645,112949
6,"Buenos Aires",6134,"Cañuelas",13208,7138,70420
6,"Buenos Aires",6140,"Capitán Sarmiento",1985,1585,16543
6,"Buenos Aires",6147,"Carlos Casares",2508,2152,24931
6,"Buenos Aires",6154,"Carlos Tejedor",1521,1624,12487
6,"Buenos Aires",6161,"Carmen de Areco",1847,1439,17331
6,"Buenos Aires",6168,"Castelli",1428,1307,9825
6,"Buenos Aires",6175,"Colón",2314,2147,27665
6,"Buenos Aires",6182,"Coronel de Marina Leonardo Rosales",12688,12848,61995
6,"Buenos Aires",6189,"Coronel Dorrego",1951,1885,16771
6,"Buenos Aires",6196,"Coronel Pringles",2096,2402,25337
6,"Buenos Aires",6203,"Coronel Suárez",3610,3959,42828
6,"Buenos Aires",6210,"Chacabuco",3651,3387,54025
6,"Buenos Aires",6218,"Chascomús",5345,3394,44563
6,"Buenos Aires",6224,"Chivilcoy",6869,4884,74888
6,"Buenos Aires",6231,"Daireaux",2089,2049,18947
6,"Buenos Aires",6238,"Dolores",3199,2647,31502
6,"Buenos Aires",6245,"Ensenada",14842,11290,75303
6,"Buenos Aires",6252,"Escobar",41210,35196,272728
6,"Buenos Aires",6260,"Esteban Echeverría",49112,48991,360236
6,"Buenos Aires",6266,"Exaltación de la Cruz",11372,6230,43985
6,"Buenos Aires",6270,"Ezeiza",35889,27855,211546
6,"Buenos Aires",6274,"Florencio Varela",52323,57095,493761
6,"Buenos Aires",6277,"Florentino Ameghino",1149,1571,10229
6,"Buenos Aires",6280,"General Alvarado",8055,5302,47310
6,"Buenos Aires",6287,"General Alvear",1324,1244,10973
6,"Buenos Aires",6294,"General Arenales",2927,2153,18014
6,"Buenos Aires",6301,"General Belgrano",3009,2283,20819
6,"Buenos Aires",6308,"General Guido",905,740,3265
6,"Buenos Aires",6315,"General Juan Madariaga",3551,2826,24490
6,"Buenos Aires",6322,"General La Madrid",1303,1363,12090
6,"Buenos Aires",6329,"General Las Heras",2711,2005,18015
6,"Buenos Aires",6336,"General Lavalle",2338,1379,6261
6,"Buenos Aires",6343,"General Paz",2600,1925,14663
6,"Buenos Aires",6351,"General Pinto",1424,1279,12603
6,"Buenos Aires",6357,"General Pueyrredón",67836,69985,696555
6,"Buenos Aires",6364,"General Rodríguez",36549,15719,142781
6,"Buenos Aires",6371,"General San Martín",74579,79559,470493
6,"Buenos Aires",6385,"General Viamonte",1616,1580,19464
6,"Buenos Aires",6392,"General Villegas",3440,4050,32500
6,"Buenos Aires",6399,"Guaminí",1700,1675,12196
6,"Buenos Aires",6406,"Hipólito Yrigoyen",1275,1251,10256
6,"Buenos Aires",6408,"Hurlingham",33994,32341,202514
6,"Buenos Aires",6410,"Ituzaingó",27579,29608,179473
6,"Buenos Aires",6412,"José C. Paz",48980,49685,339573
6,"Buenos Aires",6413,"Junín",8028,7330,101185
6,"Buenos Aires",6420,"La Costa",31115,18990,104892
6,"Buenos Aires",6427,"La Matanza",138018,187237,1577852
6,"Buenos Aires",6434,"Lanús",58593,80587,484243
6,"Buenos Aires",6441,"La Plata",72082,82069,803682
6,"Buenos Aires",6448,"Laprida",1447,1253,12327
6,"Buenos Aires",6455,"Las Flores",2499,1921,27249
6,"Buenos Aires",6462,"Leandro N. Alem",1773,2014,18652
6,"Buenos Aires",6466,"Lezama",687,712,5972
6,"Buenos Aires",6469,"Lincoln",4294,3578,47228
6,"Buenos Aires",6476,"Lobería",1538,1845,17906
6,"Buenos Aires",6483,"Lobos",4108,3136,42162
6,"Buenos Aires",6490,"Lomas de Zamora",93196,99785,744034
6,"Buenos Aires",6497,"Luján",12409,9222,121073
6,"Buenos Aires",6505,"Magdalena",3098,2667,20587
6,"Buenos Aires",6511,"Maipú",1991,1971,12404
6,"Buenos Aires",6515,"Malvinas Argentinas",48543,52292,373640
6,"Buenos Aires",6518,"Mar Chiquita",15358,6551,37417
6,"Buenos Aires",6525,"Marcos Paz",10963,8512,68696
6,"Buenos Aires",6532,"Mercedes",7341,7418,72199
6,"Buenos Aires",6539,"Merlo",60815,69220,596416
6,"Buenos Aires",6547,"Monte",4171,3245,26458
6,"Buenos Aires",6553,"Monte Hermoso",4361,3362,11209
6,"Buenos Aires",6560,"Moreno",74879,80118,554252
6,"Buenos Aires",6568,"Morón",58842,59029,343468
6,"Buenos Aires",6574,"Navarro",2097,1821,19833
6,"Buenos Aires",6581,"Necochea",9967,8351,105906
6,"Buenos Aires",6588,"9 de Julio",4216,3683,53461
6,"Buenos Aires",6595,"Olavarría",9782,9065,122770
6,"Buenos Aires",6602,"Patagones",7452,5763,36822
6,"Buenos Aires",6609,"Pehuajó",4123,4081,44695
6,"Buenos Aires",6616,"Pellegrini",992,1140,6526
6,"Buenos Aires",6623,"Pergamino",7215,7345,113640
6,"Buenos Aires",6630,"Pila",1085,716,4510
6,"Buenos Aires",6638,"Pilar",73650,47613,404428
6,"Buenos Aires",6644,"Pinamar",12103,8448,45132
6,"Buenos Aires",6648,"Presidente Perón",21219,15469,111253
6,"Buenos Aires",6651,"Puán",2314,2111,16542
6,"Buenos Aires",6655,"Punta Indio",2867,2057,12619
6,"Buenos Aires",6658,"Quilmes",78610,92862,656564
6,"Buenos Aires",6665,"Ramallo",4164,2878,39936
6,"Buenos Aires",6672,"Rauch",1320,1390,17077
6,"Buenos Aires",6679,"Rivadavia",2240,2605,18752
6,"Buenos Aires",6686,"Rojas",2033,2034,25704
6,"Buenos Aires",6693,"Roque Pérez",1901,1611,14217
6,"Buenos Aires",6700,"Saavedra",3429,3412,22585
6,"Buenos Aires",6707,"Saladillo",3329,2541,36141
6,"Buenos Aires",6714,"Salto",3755,2911,38313
6,"Buenos Aires",6721,"Salliqueló",1113,1375,9494
6,"Buenos Aires",6728,"San Andrés de Giles",3067,2450,26540
6,"Buenos Aires",6735,"San Antonio de Areco",3049,2624,26412
6,"Buenos Aires",6742,"San Cayetano",1004,940,8895
6,"Buenos Aires",6749,"San Fernando",28705,31285,181304
6,"Buenos Aires",6756,"San Isidro",59592,65222,339617
6,"Buenos Aires",6760,"San Miguel",55824,55423,336460
6,"Buenos Aires",6763,"San Nicolás",8931,10955,161142
6,"Buenos Aires",6770,"San Pedro",4820,4127,70935
6,"Buenos Aires",6778,"San Vicente",21432,11833,93151
6,"Buenos Aires",6784,"Suipacha",1579,1455,12304
6,"Buenos Aires",6791,"Tandil",17244,10822,140635
6,"Buenos Aires",6798,"Tapalqué",1419,1359,10785
6,"Buenos Aires",6805,"Tigre",68837,64078,457001
6,"Buenos Aires",6812,"Tordillo",851,509,2894
6,"Buenos Aires",6819,"Tornquist",5691,3008,18045
6,"Buenos Aires",6826,"Trenque Lauquen",5794,4567,51636
6,"Buenos Aires",6833,"Tres Arroyos",5381,4708,65023
6,"Buenos Aires",6840,"Tres de Febrero",57708,70638,376129
6,"Buenos Aires",6847,"Tres Lomas",1136,1011,8302
6,"Buenos Aires",6854,"25 de Mayo",3530,3295,38819
6,"Buenos Aires",6861,"Vicente López",55687,61368,281794
6,"Buenos Aires",6868,"Villa Gesell",9826,8037,43559
6,"Buenos Aires",6875,"Villarino",4093,5006,35816
6,"Buenos Aires",6882,"Zárate",10115,11131,130021
10,"Catamarca",10007,"Ambato",1317,869,6165
10,"Catamarca",10014,"Ancasti",802,549,3693
10,"Catamarca",10021,"Andalgalá",1550,1753,20523
10,"Catamarca",10028,"Antofagasta de la Sierra",578,234,2082
10,"Catamarca",10035,"Belén",2481,2386,30975
10,"Catamarca",10042,"Capayán",2712,2356,19905
10,"Catamarca",10049,"Capital",16122,17624,182925
10,"Catamarca",10056,"El Alto",1267,910,5267
10,"Catamarca",10063,"Fray Mamerto Esquiú",2360,1533,15300
10,"Catamarca",10070,"La Paz",2860,3320,27184
10,"Catamarca",10077,"Paclín",978,729,5433
10,"Catamarca",10084,"Pomán",1183,1215,12394
10,"Catamarca",10091,"Santa María",2664,2771,27090
10,"Catamarca",10098,"Santa Rosa",2307,2929,14085
10,"Catamarca",10105,"Tinogasta",2410,2479,24859
10,"Catamarca",10112,"Valle Viejo",6160,4198,35863
14,"Córdoba",14007,"Calamuchita",19848,9111,76499
14,"Córdoba",14014,"Capital",116345,166929,1456102
14,"Córdoba",14021,"Colón",71997,48472,318951
14,"Córdoba",14028,"Cruz del Eje",9009,7003,67797
14,"Córdoba",14035,"General Roca",3414,4075,36734
14,"Córdoba",14042,"General San Martín",16424,12903,153316
14,"Córdoba",14049,"Ischilín",4139,3726,38197
14,"Córdoba",14056,"Juárez Celman",8121,7407,70211
14,"Córdoba",14063,"Marcos Juárez",9804,9601,108295
14,"Córdoba",14070,"Minas",1238,1543,5861
14,"Córdoba",14077,"Pocho",1171,987,5604
14,"Córdoba",14084,"Presidente Roque Sáenz Peña",3495,3980,39302
14,"Córdoba",14091,"Punilla",50721,28924,229990
14,"Córdoba",14098,"Río Cuarto",20699,19088,281100
14,"Córdoba",14105,"Río Primero",6430,6207,56975
14,"Córdoba",14112,"Río Seco",2052,1882,17103
14,"Córdoba",14119,"Río Segundo",11003,9436,118454
14,"Córdoba",14126,"San Alberto",9144,5746,47732
14,"Córdoba",14133,"San Javier",12302,8375,67049
14,"Córdoba",14140,"San Justo",23769,20172,236285
14,"Córdoba",14147,"Santa María",33453,13511,140370
14,"Córdoba",14154,"Sobremonte",559,474,5175
14,"Córdoba",14161,"Tercero Arriba",10651,10153,124879
14,"Córdoba",14168,"Totoral",3856,2656,23252
14,"Córdoba",14175,"Tulumba",2706,2467,15339
14,"Córdoba",14182,"Unión",11693,11856,117086
18,"Corrientes",18007,"Bella Vista",4048,3828,43997
18,"Corrientes",18014,"Berón de Astrada",768,584,3318
18,"Corrientes",18021,"Capital",32109,40499,401779
18,"Corrientes",18028,"Concepción",2860,2431,25946
18,"Corrientes",18035,"Curuzú Cuatiá",5575,5983,50079
18,"Corrientes",18042,"Empedrado",2744,1848,18524
18,"Corrientes",18049,"Esquina",6338,5456,42089
18,"Corrientes",18056,"General Alvear",1628,1497,8781
18,"Corrientes",18063,"General Paz",3457,2652,17829
18,"Corrientes",18070,"Goya",9245,9148,103484
18,"Corrientes",18077,"Itatí",2826,2134,12923
18,"Corrientes",18084,"Ituzaingó",15635,9890,46546
18,"Corrientes",18091,"Lavalle",4150,3241,38810
18,"Corrientes",18098,"Mburucuyá",1680,1275,11727
18,"Corrientes",18105,"Mercedes",5300,4817,49596
18,"Corrientes",18112,"Monte Caseros",6700,5870,41254
18,"Corrientes",18119,"Paso de los Libres",8648,9245,57243
18,"Corrientes",18126,"Saladas",3106,2724,26503
