"provincia_origen","provincia_destino","cantidad_migrantes"
"Buenos Aires Interior","Amba",121309
"Catamarca","Amba",3558
"Chaco","Amba",22382
"Chubut","Amba",13545
"Cordoba","Amba",33883
"Corrientes","Amba",29188
"Entre Rios","Amba",24983
"Formosa","Amba",16494
"Jujuy","Amba",10996
"La Pampa","Amba",5035
"La Rioja","Amba",3280
"Mendoza","Amba",13163
"Misiones","Amba",42752
"Neuquen","Amba",11302
"Rio Negro","Amba",12039
"Salta","Amba",21188
"San Juan","Amba",4822
"San Luis","Amba",8701
"Santa Cruz","Amba",10381
"Santa Fe","Amba",21464
"Santiago Del Estero","Amba",18479
"Tierra Del Fuego","Amba",8727
"Tucuman","Amba",14781
"Catamarca","Buenos Aires Interior",510
"Chaco","Buenos Aires Interior",4022
"Chubut","Buenos Aires Interior",6430
"Cordoba","Buenos Aires Interior",9531
"Corrientes","Buenos Aires Interior",8014
"Entre Rios","Buenos Aires Interior",5937
"Formosa","Buenos Aires Interior",2438
"Jujuy","Buenos Aires Interior",2124
"La Pampa","Buenos Aires Interior",5748
"La Rioja","Buenos Aires Interior",559
"Mendoza","Buenos Aires Interior",4288
"Misiones","Buenos Aires Interior",7064
"Neuquen","Buenos Aires Interior",4893
"Rio Negro","Buenos Aires Interior",11613
"Salta","Buenos Aires Interior",4228
"San Juan","Buenos Aires Interior",1465
"San Luis","Buenos Aires Interior",2452
"Santa Cruz","Buenos Aires Interior",5036
"Santa Fe","Buenos Aires Interior",15132
"Santiago Del Estero","Buenos Aires Interior",5304
"Tierra Del Fuego","Buenos Aires Interior",6227
"Tucuman","Buenos Aires Interior",3246
"Amba","Buenos Aires Interior ",179027
"Amba","Catamarca",5328
"Buenos Aires Interior","Catamarca",603
"Chaco","Catamarca",137
"Chubut","Catamarca",798
"Cordoba","Catamarca",3394
"Corrientes","Catamarca",94
"Entre Rios","Catamarca",69
"Formosa","Catamarca",92
"Jujuy","Catamarca",381
"La Pampa","Catamarca",37
"La Rioja","Catamarca",2023
"Mendoza","Catamarca",402
"Misiones","Catamarca",137
"Neuquen","Catamarca",214
"Rio Negro","Catamarca",160
"Salta","Catamarca",1069
"San Juan","Catamarca",230
"San Luis","Catamarca",136
"Santa Cruz","Catamarca",1698
"Santa Fe","Catamarca",399
"Santiago Del Estero","Catamarca",2821
"Tierra Del Fuego","Catamarca",246
"Tucuman","Catamarca",3819
"Amba","Chaco",27026
"Buenos Aires Interior","Chaco",3157
"Catamarca","Chaco",108
"Chubut","Chaco",825
"Cordoba","Chaco",3571
"Corrientes","Chaco",6326
"Entre Rios","Chaco",763
"Formosa","Chaco",4099
"Jujuy","Chaco",231
"La Pampa","Chaco",206
"La Rioja","Chaco",154
"Mendoza","Chaco",386
"Misiones","Chaco",1750
"Neuquen","Chaco",479
"Rio Negro","Chaco",309
"Salta","Chaco",1687
"San Juan","Chaco",161
"San Luis","Chaco",223
"Santa Cruz","Chaco",2110
"Santa Fe","Chaco",9977
"Santiago Del Estero","Chaco",2099
"Tierra Del Fuego","Chaco",1780
"Tucuman","Chaco",448
"Amba","Chubut",17675
"Buenos Aires Interior","Chubut",6702
"Catamarca","Chubut",783
"Chaco","Chubut",1237
"Cordoba","Chubut",4007
"Corrientes","Chubut",1862
"Entre Rios","Chubut",1011
"Formosa","Chubut",1528
"Jujuy","Chubut",1542
"La Pampa","Chubut",616
"La Rioja","Chubut",591
"Mendoza","Chubut",2917
"Misiones","Chubut",2017
"Neuquen","Chubut",2140
"Rio Negro","Chubut",6697
"Salta","Chubut",2928
"San Juan","Chubut",1041
"San Luis","Chubut",471
"Santa Cruz","Chubut",9251
"Santa Fe","Chubut",1699
"Santiago Del Estero","Chubut",855
"Tierra Del Fuego","Chubut",1362
"Tucuman","Chubut",1193
"Amba","Cordoba",57707
"Buenos Aires Interior","Cordoba",11182
"Catamarca","Cordoba",3733
"Chaco","Cordoba",5302
