"PROVRES";"TIPPARTO";"SEXO";"IMEDAD";"ITIEMGEST";"IMINSTRUC";"IPESONAC";"CUENTA"
02;1;1;2.15 a 19;6.37 a 41;4.Sin especificar;2.2500 gramos y más;9
02;1;1;3.20 a 24;2.22 a 23;4.Sin especificar;1.Menos de 2500 gramos;1
02;1;1;3.20 a 24;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
02;1;1;3.20 a 24;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;3
02;1;1;3.20 a 24;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;8
02;1;1;3.20 a 24;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;23
02;1;1;3.20 a 24;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;602
02;1;1;3.20 a 24;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
02;1;1;4.25 a 29;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;2
02;1;1;4.25 a 29;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;8
02;1;1;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;9
02;1;1;4.25 a 29;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;45
02;1;1;4.25 a 29;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;4
02;1;1;4.25 a 29;6.37 a 41;4.Sin especificar;1.Menos de 2500 gramos;1
02;1;1;4.25 a 29;7.42 y más;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;2
02;1;1;4.25 a 29;8.Sin especificar;4.Sin especificar;3.Sin especificar;1
02;1;1;5.30 a 34;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;6
02;1;1;5.30 a 34;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;3
02;1;1;5.30 a 34;4.28 a 31;4.Sin especificar;1.Menos de 2500 gramos;1
02;1;1;5.30 a 34;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;75
02;1;1;5.30 a 34;5.32 a 36;4.Sin especificar;2.2500 gramos y más;9
02;1;1;5.30 a 34;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;302
02;1;1;5.30 a 34;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;315
02;1;1;5.30 a 34;7.42 y más;4.Sin especificar;2.2500 gramos y más;2
02;1;1;5.30 a 34;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
02;1;1;5.30 a 34;8.Sin especificar;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
02;1;1;6.35 a 39;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
02;1;1;6.35 a 39;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;6
02;1;1;6.35 a 39;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;5
02;1;1;6.35 a 39;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;3
02;1;1;6.35 a 39;6.37 a 41;4.Sin especificar;2.2500 gramos y más;187
02;1;1;6.35 a 39;8.Sin especificar;4.Sin especificar;2.2500 gramos y más;1
02;1;1;7.40 a 44;3.24 a 27;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
02;1;1;7.40 a 44;4.28 a 31;4.Sin especificar;1.Menos de 2500 gramos;2
02;1;1;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;3.Sin especificar;1
02;1;1;7.40 a 44;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;71
02;1;1;7.40 a 44;6.37 a 41;4.Sin especificar;2.2500 gramos y más;75
02;1;1;7.40 a 44;8.Sin especificar;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
02;1;1;8.De 45 y más;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
02;1;1;8.De 45 y más;5.32 a 36;4.Sin especificar;2.2500 gramos y más;1
02;1;1;8.De 45 y más;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;5
